Acc_X: 176, Acc_Y: 3360, Acc_Z: -6
Acc_X: 164, Acc_Y: 3288, Acc_Z: -6
Acc_X: 186, Acc_Y: 3232, Acc_Z: -12
Acc_X: 204, Acc_Y: 3244, Acc_Z: 16
Acc_X: 208, Acc_Y: 3230, Acc_Z: 12
Acc_X: 208, Acc_Y: 3242, Acc_Z: 20
Acc_X: 224, Acc_Y: 3282, Acc_Z: 48
Acc_X: 250, Acc_Y: 3320, Acc_Z: 28
Acc_X: 272, Acc_Y: 3370, Acc_Z: 68
Acc_X: 278, Acc_Y: 3404, Acc_Z: 96
Acc_X: 286, Acc_Y: 3446, Acc_Z: 104
Acc_X: 308, Acc_Y: 3472, Acc_Z: 116
Acc_X: 322, Acc_Y: 3508, Acc_Z: 152
Acc_X: 326, Acc_Y: 3568, Acc_Z: 156
Acc_X: 352, Acc_Y: 3580, Acc_Z: 196
Acc_X: 356, Acc_Y: 3644, Acc_Z: 204
Acc_X: 378, Acc_Y: 3714, Acc_Z: 252
Acc_X: 364, Acc_Y: 3776, Acc_Z: 252
Acc_X: 380, Acc_Y: 3828, Acc_Z: 260
Acc_X: 396, Acc_Y: 3910, Acc_Z: 292
Acc_X: 390, Acc_Y: 3962, Acc_Z: 328
Acc_X: 392, Acc_Y: 4076, Acc_Z: 356
Acc_X: 422, Acc_Y: 4132, Acc_Z: 368
Acc_X: 436, Acc_Y: 4268, Acc_Z: 380
Acc_X: 440, Acc_Y: 4308, Acc_Z: 436
Acc_X: 428, Acc_Y: 4384, Acc_Z: 436
Acc_X: 452, Acc_Y: 4428, Acc_Z: 416
Acc_X: 438, Acc_Y: 4506, Acc_Z: 452
Acc_X: 460, Acc_Y: 4546, Acc_Z: 502
Acc_X: 484, Acc_Y: 4582, Acc_Z: 494
Acc_X: 488, Acc_Y: 4624, Acc_Z: 528
Acc_X: 474, Acc_Y: 4640, Acc_Z: 530
Acc_X: 500, Acc_Y: 4690, Acc_Z: 500
Acc_X: 496, Acc_Y: 4706, Acc_Z: 518
Acc_X: 500, Acc_Y: 4758, Acc_Z: 530
Acc_X: 518, Acc_Y: 4744, Acc_Z: 536
Acc_X: 508, Acc_Y: 4796, Acc_Z: 564
Acc_X: 488, Acc_Y: 4764, Acc_Z: 552
Acc_X: 508, Acc_Y: 4786, Acc_Z: 560
Acc_X: 508, Acc_Y: 4770, Acc_Z: 572
Acc_X: 512, Acc_Y: 4752, Acc_Z: 556
Acc_X: 518, Acc_Y: 4762, Acc_Z: 584
Acc_X: 518, Acc_Y: 4724, Acc_Z: 584
Acc_X: 532, Acc_Y: 4704, Acc_Z: 588
Acc_X: 514, Acc_Y: 4680, Acc_Z: 592
Acc_X: 484, Acc_Y: 4650, Acc_Z: 576
Acc_X: 516, Acc_Y: 4602, Acc_Z: 632
Acc_X: 518, Acc_Y: 4584, Acc_Z: 656
Acc_X: 510, Acc_Y: 4528, Acc_Z: 636
Acc_X: 500, Acc_Y: 4460, Acc_Z: 620
Acc_X: 504, Acc_Y: 4420, Acc_Z: 624
Acc_X: 512, Acc_Y: 4386, Acc_Z: 632
Acc_X: 496, Acc_Y: 4338, Acc_Z: 628
Acc_X: 500, Acc_Y: 4294, Acc_Z: 664
Acc_X: 496, Acc_Y: 4240, Acc_Z: 640
Acc_X: 502, Acc_Y: 4138, Acc_Z: 628
Acc_X: 498, Acc_Y: 4136, Acc_Z: 660
Acc_X: 474, Acc_Y: 4072, Acc_Z: 620
Acc_X: 480, Acc_Y: 4036, Acc_Z: 664
Acc_X: 474, Acc_Y: 3992, Acc_Z: 640
Acc_X: 484, Acc_Y: 3924, Acc_Z: 664
Acc_X: 440, Acc_Y: 3876, Acc_Z: 620
Acc_X: 454, Acc_Y: 3872, Acc_Z: 616
Acc_X: 454, Acc_Y: 3840, Acc_Z: 628
Acc_X: 460, Acc_Y: 3814, Acc_Z: 644
Acc_X: 462, Acc_Y: 3764, Acc_Z: 596
Acc_X: 448, Acc_Y: 3740, Acc_Z: 620
Acc_X: 412, Acc_Y: 3750, Acc_Z: 640
Acc_X: 436, Acc_Y: 3724, Acc_Z: 636
Acc_X: 416, Acc_Y: 3744, Acc_Z: 616
Acc_X: 422, Acc_Y: 3732, Acc_Z: 596
Acc_X: 390, Acc_Y: 3752, Acc_Z: 592
Acc_X: 400, Acc_Y: 3754, Acc_Z: 532
Acc_X: 392, Acc_Y: 3744, Acc_Z: 580
Acc_X: 370, Acc_Y: 3754, Acc_Z: 548
Acc_X: 388, Acc_Y: 3784, Acc_Z: 522
Acc_X: 352, Acc_Y: 3798, Acc_Z: 498
Acc_X: 356, Acc_Y: 3840, Acc_Z: 452
Acc_X: 360, Acc_Y: 3862, Acc_Z: 420
Acc_X: 348, Acc_Y: 3888, Acc_Z: 408
Acc_X: 366, Acc_Y: 3944, Acc_Z: 348
Acc_X: 364, Acc_Y: 4000, Acc_Z: 320
Acc_X: 360, Acc_Y: 4038, Acc_Z: 316
Acc_X: 344, Acc_Y: 4060, Acc_Z: 244
Acc_X: 340, Acc_Y: 4104, Acc_Z: 260
Acc_X: 360, Acc_Y: 4138, Acc_Z: 228
Acc_X: 340, Acc_Y: 4208, Acc_Z: 236
Acc_X: 330, Acc_Y: 4234, Acc_Z: 240
Acc_X: 360, Acc_Y: 4300, Acc_Z: 184
Acc_X: 340, Acc_Y: 4300, Acc_Z: 212
Acc_X: 326, Acc_Y: 4326, Acc_Z: 196
Acc_X: 332, Acc_Y: 4336, Acc_Z: 192
Acc_X: 314, Acc_Y: 4380, Acc_Z: 168
Acc_X: 326, Acc_Y: 4400, Acc_Z: 180
Acc_X: 320, Acc_Y: 4416, Acc_Z: 180
Acc_X: 296, Acc_Y: 4440, Acc_Z: 176
Acc_X: 314, Acc_Y: 4450, Acc_Z: 176
Acc_X: 300, Acc_Y: 4460, Acc_Z: 160
Acc_X: 304, Acc_Y: 4468, Acc_Z: 104
Acc_X: 304, Acc_Y: 4464, Acc_Z: 140
Acc_X: 286, Acc_Y: 4472, Acc_Z: 132
Acc_X: 292, Acc_Y: 4480, Acc_Z: 136
Acc_X: 308, Acc_Y: 4450, Acc_Z: 152
Acc_X: 284, Acc_Y: 4468, Acc_Z: 108
Acc_X: 288, Acc_Y: 4420, Acc_Z: 136
Acc_X: 282, Acc_Y: 4442, Acc_Z: 92
Acc_X: 274, Acc_Y: 4410, Acc_Z: 76
Acc_X: 282, Acc_Y: 4384, Acc_Z: 72
Acc_X: 280, Acc_Y: 4348, Acc_Z: 56
Acc_X: 268, Acc_Y: 4324, Acc_Z: 68
Acc_X: 260, Acc_Y: 4300, Acc_Z: 52
Acc_X: 260, Acc_Y: 4264, Acc_Z: 56
Acc_X: 256, Acc_Y: 4232, Acc_Z: 68
Acc_X: 250, Acc_Y: 4158, Acc_Z: 68
Acc_X: 268, Acc_Y: 4136, Acc_Z: 28
Acc_X: 278, Acc_Y: 4110, Acc_Z: 56
Acc_X: 268, Acc_Y: 4056, Acc_Z: 28
Acc_X: 256, Acc_Y: 4012, Acc_Z: 40
Acc_X: 238, Acc_Y: 3976, Acc_Z: 76
Acc_X: 272, Acc_Y: 3922, Acc_Z: 56
Acc_X: 264, Acc_Y: 3888, Acc_Z: 72
Acc_X: 270, Acc_Y: 3862, Acc_Z: 48
Acc_X: 246, Acc_Y: 3820, Acc_Z: 84
Acc_X: 278, Acc_Y: 3814, Acc_Z: 80
Acc_X: 274, Acc_Y: 3760, Acc_Z: 48
Acc_X: 264, Acc_Y: 3724, Acc_Z: 84
Acc_X: 260, Acc_Y: 3720, Acc_Z: 44
Acc_X: 282, Acc_Y: 3678, Acc_Z: 60
Acc_X: 278, Acc_Y: 3680, Acc_Z: 84
Acc_X: 274, Acc_Y: 3672, Acc_Z: 44
Acc_X: 292, Acc_Y: 3662, Acc_Z: 64
Acc_X: 292, Acc_Y: 3612, Acc_Z: 76
Acc_X: 294, Acc_Y: 3628, Acc_Z: 56
Acc_X: 326, Acc_Y: 3654, Acc_Z: 76
Acc_X: 326, Acc_Y: 3640, Acc_Z: 84
Acc_X: 360, Acc_Y: 3664, Acc_Z: 104
Acc_X: 344, Acc_Y: 3664, Acc_Z: 108
Acc_X: 352, Acc_Y: 3656, Acc_Z: 108
Acc_X: 376, Acc_Y: 3666, Acc_Z: 144
Acc_X: 362, Acc_Y: 3676, Acc_Z: 144
Acc_X: 378, Acc_Y: 3732, Acc_Z: 148
Acc_X: 418, Acc_Y: 3704, Acc_Z: 184
Acc_X: 400, Acc_Y: 3714, Acc_Z: 208
Acc_X: 400, Acc_Y: 3746, Acc_Z: 184
Acc_X: 422, Acc_Y: 3798, Acc_Z: 224
Acc_X: 422, Acc_Y: 3832, Acc_Z: 240
Acc_X: 412, Acc_Y: 3814, Acc_Z: 260
Acc_X: 424, Acc_Y: 3856, Acc_Z: 268
Acc_X: 424, Acc_Y: 3896, Acc_Z: 300
Acc_X: 440, Acc_Y: 3916, Acc_Z: 304
Acc_X: 428, Acc_Y: 3950, Acc_Z: 316
Acc_X: 434, Acc_Y: 3972, Acc_Z: 336
Acc_X: 440, Acc_Y: 3992, Acc_Z: 360
Acc_X: 464, Acc_Y: 4040, Acc_Z: 344
Acc_X: 432, Acc_Y: 4040, Acc_Z: 332
Acc_X: 462, Acc_Y: 4078, Acc_Z: 364
Acc_X: 470, Acc_Y: 4096, Acc_Z: 396
Acc_X: 500, Acc_Y: 4092, Acc_Z: 376
Acc_X: 482, Acc_Y: 4136, Acc_Z: 408
Acc_X: 470, Acc_Y: 4204, Acc_Z: 404
Acc_X: 500, Acc_Y: 4202, Acc_Z: 428
Acc_X: 478, Acc_Y: 4170, Acc_Z: 400
Acc_X: 470, Acc_Y: 4226, Acc_Z: 424
Acc_X: 492, Acc_Y: 4246, Acc_Z: 428
Acc_X: 470, Acc_Y: 4260, Acc_Z: 436
Acc_X: 480, Acc_Y: 4260, Acc_Z: 476
Acc_X: 496, Acc_Y: 4282, Acc_Z: 448
Acc_X: 476, Acc_Y: 4256, Acc_Z: 452
Acc_X: 492, Acc_Y: 4264, Acc_Z: 514
Acc_X: 492, Acc_Y: 4274, Acc_Z: 496
Acc_X: 496, Acc_Y: 4272, Acc_Z: 510
Acc_X: 492, Acc_Y: 4240, Acc_Z: 506
Acc_X: 500, Acc_Y: 4252, Acc_Z: 492
Acc_X: 514, Acc_Y: 4234, Acc_Z: 500
Acc_X: 484, Acc_Y: 4208, Acc_Z: 544
Acc_X: 476, Acc_Y: 4188, Acc_Z: 498
Acc_X: 496, Acc_Y: 4190, Acc_Z: 536
Acc_X: 484, Acc_Y: 4144, Acc_Z: 518
Acc_X: 474, Acc_Y: 4122, Acc_Z: 532
Acc_X: 466, Acc_Y: 4122, Acc_Z: 544
Acc_X: 474, Acc_Y: 4070, Acc_Z: 524
Acc_X: 474, Acc_Y: 4072, Acc_Z: 544
Acc_X: 474, Acc_Y: 4034, Acc_Z: 526
Acc_X: 444, Acc_Y: 4022, Acc_Z: 564
Acc_X: 462, Acc_Y: 4000, Acc_Z: 530
Acc_X: 454, Acc_Y: 4004, Acc_Z: 544
Acc_X: 432, Acc_Y: 3944, Acc_Z: 532
Acc_X: 440, Acc_Y: 3960, Acc_Z: 542
Acc_X: 432, Acc_Y: 3936, Acc_Z: 514
Acc_X: 426, Acc_Y: 3924, Acc_Z: 536
Acc_X: 412, Acc_Y: 3896, Acc_Z: 536
Acc_X: 412, Acc_Y: 3892, Acc_Z: 536
Acc_X: 416, Acc_Y: 3862, Acc_Z: 544
Acc_X: 400, Acc_Y: 3862, Acc_Z: 552
Acc_X: 420, Acc_Y: 3852, Acc_Z: 494
Acc_X: 408, Acc_Y: 3824, Acc_Z: 510
Acc_X: 400, Acc_Y: 3848, Acc_Z: 544
Acc_X: 388, Acc_Y: 3828, Acc_Z: 536
